SORT1,SORT2,이름,주소,광역(특별)시/도,시/군/구,도로명,위도 경도,비고
반려 동반 가능 숙소,글램핑,오하브 글램핑,경기도 가평군 북면 꽃넘이길 43,경기도,가평군,북면 꽃넘이길 43,POINT (127.527012 37.896166),
반려 동반 가능 숙소,글램핑,힐포인트,경기도 용인시 수지구 동천로 541,경기도,용인시,수지구 동천로 541,POINT (127.0527565 37.3513547),
반려 동반 가능 숙소,애견 펜션,가평 2PM애견펜션,경기도 가평군 상면 청군로 690-13,경기도,가평군,상면 청군로 690-13,POINT (127.3521492 37.7958862),
반려 동반 가능 숙소,애견 펜션,가평 퍼피밸리 애견 펜션,경기도 가평군 북면 백둔로133번길 8,경기도,가평군,북면 백둔로133번길 8,POINT (127.4890274 37.8978139),
반려 동반 가능 숙소,애견 펜션,개댁 애견 펜션,경기도 가평군 상면 축령로 276-16,경기도,가평군,상면 축령로 276-16,POINT (127.3443695 37.774225),
반려 동반 가능 숙소,애견 펜션,까망베르애견풀빌라,경기도 가평군 북면 백둔로133번길 68-26,경기도,가평군,북면 백둔로133번길 68-26,POINT (127.4849106 37.8964418),
반려 동반 가능 숙소,애견 펜션,댕댕이계곡펜션,경기도 가평군 북면 가화로 1450,경기도,가평군,북면 가화로 1450,POINT (127.5100426 37.8974059),
반려 동반 가능 숙소,애견 펜션,더리조트멍,경기도 가평군 조종면 현등사길 55-279,경기도,가평군,조종면 현등사길 55-279,POINT (127.3452116 37.8602639),
반려 동반 가능 숙소,애견 펜션,도그더왈츠,경기도 가평군 북면 가화로 1462-39,경기도,가평군,북면 가화로 1462-39,POINT (127.5076875 37.89756250000001),
반려 동반 가능 숙소,애견 펜션,바비네하우스 애견펜션,경기도 가평군 가평읍 상지로 1040,경기도,가평군,가평읍 상지로 1040,POINT (127.4976335 37.7382739),
반려 동반 가능 숙소,애견 펜션,스위트몽,경기도 가평군 상면 축령로 102,경기도,가평군,상면 축령로 102,POINT (127.3609742 37.7745951),
반려 동반 가능 숙소,애견 펜션,우다다 애견 펜션,경기도 가평군 가평읍 태봉두밀로 522-101,경기도,가평군,가평읍 태봉두밀로 522-101,POINT (127.4415745 37.81596439999999),
반려 동반 가능 숙소,애견 펜션,플레이독 애견펜션,경기도 가평군 상면 수목원로 391-25,경기도,가평군,상면 수목원로 391-25,POINT (127.3539177 37.7465246),
반려 동반 가능 숙소,애견 펜션,피크닉댕댕,경기도 동두천시 천보산로 344,경기도,동두천시,천보산로 344,POINT (127.1081858 37.8669849),
